path,n_variables,n_constraints,n_nonzeros
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_000.lp,500,196,2738
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_001.lp,500,190,2514
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_002.lp,500,191,2976
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_003.lp,500,195,2883
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_004.lp,500,200,2628
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_005.lp,500,188,3066
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_006.lp,500,196,2881
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_007.lp,500,191,2985
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_008.lp,500,198,2595
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_009.lp,500,193,2873
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_010.lp,500,190,2886
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_011.lp,500,193,2754
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_012.lp,500,193,2782
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_013.lp,500,201,2764
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_014.lp,500,192,3070
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_015.lp,500,190,2864
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_016.lp,500,196,2540
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_017.lp,500,192,2934
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_018.lp,500,198,2860
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_019.lp,500,191,2874
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_020.lp,500,194,2829
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_021.lp,500,189,2691
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_022.lp,500,190,2826
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_023.lp,500,194,2838
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_024.lp,500,192,2806
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_025.lp,500,193,2738
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_026.lp,500,189,2944
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_027.lp,500,190,2897
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_028.lp,500,192,2780
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_029.lp,500,185,2740
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_030.lp,500,192,2901
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_031.lp,500,190,2706
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_032.lp,500,192,2727
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_033.lp,500,191,2743
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_034.lp,500,189,2570
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_035.lp,500,193,3000
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_036.lp,500,191,2807
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_037.lp,500,191,2726
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_038.lp,500,192,2664
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_039.lp,500,191,2954
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_040.lp,500,196,2881
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_041.lp,500,194,2728
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_042.lp,500,186,2926
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_043.lp,500,184,2849
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_044.lp,500,193,2532
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_045.lp,500,193,2991
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_046.lp,500,187,2843
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_047.lp,500,196,2749
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_048.lp,500,190,2782
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_049.lp,500,192,2946
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_050.lp,500,191,3134
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_051.lp,500,188,2928
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_052.lp,500,188,2794
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_053.lp,500,196,2682
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_054.lp,500,192,2704
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_055.lp,500,197,3014
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_056.lp,500,195,2601
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_057.lp,500,198,2629
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_058.lp,500,186,2892
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_059.lp,500,189,2473
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_060.lp,500,197,2754
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_061.lp,500,184,2732
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_062.lp,500,193,2926
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_063.lp,500,191,2562
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_064.lp,500,193,2697
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_065.lp,500,196,2569
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_066.lp,500,197,2923
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_067.lp,500,195,2914
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_068.lp,500,196,2901
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_069.lp,500,197,2670
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_070.lp,500,187,2885
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_071.lp,500,194,2954
/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_cauctions/cauctions_072.lp,500,193,2790
