class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_000.lp,0.006170000000000001,83,327,3.9397590361445785,301,574,3.6,4.58,3.7748481250018813,3.9235453339933883,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_001.lp,0.0029100000000000003,49,137,2.795918367346939,234,386,2.73,2.66,2.8912052920204587,2.5053595409845,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_002.lp,0.0029100000000000003,5,21,4.2,72,84,0.86,0.73,0.8999940420035273,0.7138151660037693,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_003.lp,0.00423,19,73,3.8421052631578947,121,176,1.71,1.57,1.8397694999875966,1.613379124988569,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_004.lp,0.00251,167,279,1.6706586826347305,414,512,3.62,4.68,3.820083375001559,4.229102542012697,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_005.lp,0.00521,281,411,1.4626334519572954,590,769,5.51,7.57,5.801757707988145,6.325353207997978,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_006.lp,0.0023699999999999997,15,57,3.8,139,222,2.25,1.62,2.350912708992837,1.5414170830044895,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_007.lp,0.00433,179,148,0.8268156424581006,390,396,3.59,3.14,3.8167321250075474,3.0095590830023866,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_008.lp,0.00505,226,132,0.584070796460177,440,341,3.71,2.85,3.9362051250063814,2.7357356670254376,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_009.lp,0.0023699999999999997,779,409,0.5250320924261874,1073,703,4.61,5.74,4.884627624996938,5.659080165991327,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_010.lp,0.00521,225,323,1.4355555555555555,486,539,3.79,4.95,3.993428624991793,4.7763625840016175,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_011.lp,0.00423,11,53,4.818181818181818,88,165,1.72,1.31,1.8077428750111721,1.3166412909922656,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_012.lp,0.007150000000000001,95,225,2.3684210526315788,284,444,4.18,4.12,4.403789708012482,4.1561800409981515,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_013.lp,0.00251,117,227,1.9401709401709402,282,434,2.87,3.52,3.034537708008429,3.5364676660101395,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_014.lp,0.00423,223,230,1.031390134529148,462,443,3.59,3.9,3.7740576249780133,3.79687316599302,optimal,optimal,0.0,0.0
